image_filename,image_height,image_width,Region ID,Region Type,Region Value,Region Coords,Line ID,Line Coords,Word ID,Word Coords,Word Text,Confidence
0000223278.tif,1000,762,Page1_Block1,language,en-US,"247,26 277,26 277,51 247,51",Page1_Block1_l1,"247,26 275,26 275,49 247,49",Page1_Block1_l1_w1,"247,26 275,26 275,49 247,49",r>,0.1650000066
0000223278.tif,1000,762,Page1_Block5,language,en-US,"155,75 476,75 476,123 155,123",Page1_Block5_l1,"158,77 471,77 471,93 158,93",Page1_Block5_l1_w1,"158,77 171,77 171,90 158,90",B,0.4300000072
0000223278.tif,1000,762,Page1_Block5,language,en-US,"155,75 476,75 476,123 155,123",Page1_Block5_l1,"158,77 471,77 471,93 158,93",Page1_Block5_l1_w2,"175,77 210,77 210,91 175,91",AT,0.6600000262
0000223278.tif,1000,762,Page1_Block5,language,en-US,"155,75 476,75 476,123 155,123",Page1_Block5_l1,"158,77 471,77 471,93 158,93",Page1_Block5_l1_w3,"214,77 262,77 262,92 214,92",(U.K.,0.55400002
0000223278.tif,1000,762,Page1_Block5,language,en-US,"155,75 476,75 476,123 155,123",Page1_Block5_l1,"158,77 471,77 471,93 158,93",Page1_Block5_l1_w4,"267,82 301,82 301,91 267,91",and,0.4833333194
0000223278.tif,1000,762,Page1_Block5,language,en-US,"155,75 476,75 476,123 155,123",Page1_Block5_l1,"158,77 471,77 471,93 158,93",Page1_Block5_l1_w5,"307,77 404,77 404,93 307,93",EXPORT),0.4828571379
0000223278.tif,1000,762,Page1_Block5,language,en-US,"155,75 476,75 476,123 155,123",Page1_Block5_l1,"158,77 471,77 471,93 158,93",Page1_Block5_l1_w6,"408,83 471,83 471,92 408,92",limited,0.3557142913
0000223278.tif,1000,762,Page1_Block5,language,en-US,"155,75 476,75 476,123 155,123",Page1_Block5_l2,"158,110 471,110 471,121 158,121",Page1_Block5_l2_w1,"158,110 201,110 201,120 158,120",Export,0.5533333421
0000223278.tif,1000,762,Page1_Block5,language,en-US,"155,75 476,75 476,123 155,123",Page1_Block5_l2,"158,110 471,110 471,121 158,121",Page1_Block5_l2_w2,"205,110 242,110 242,119 205,119",House,0.3759999871
0000223278.tif,1000,762,Page1_Block5,language,en-US,"155,75 476,75 476,123 155,123",Page1_Block5_l2,"158,110 471,110 471,121 158,121",Page1_Block5_l2_w3,"250,110 297,110 297,120 250,120",Woking,0.2683333457
0000223278.tif,1000,762,Page1_Block5,language,en-US,"155,75 476,75 476,123 155,123",Page1_Block5_l2,"158,110 471,110 471,121 158,121",Page1_Block5_l2_w4,"305,110 347,110 347,121 305,121",Surrey,0.6050000191
0000223278.tif,1000,762,Page1_Block5,language,en-US,"155,75 476,75 476,123 155,123",Page1_Block5_l2,"158,110 471,110 471,121 158,121",Page1_Block5_l2_w5,"351,110 412,110 412,120 351,120",GU211YB,0.4314285815
0000223278.tif,1000,762,Page1_Block5,language,en-US,"155,75 476,75 476,123 155,123",Page1_Block5_l2,"158,110 471,110 471,121 158,121",Page1_Block5_l2_w6,"420,110 471,110 471,121 420,121",England,0.3928571343
0000223278.tif,1000,762,Page1_Block6,language,en-US,"111,154 397,154 397,247 111,247",Page1_Block6_l1,"112,154 395,154 395,164 112,164",Page1_Block6_l1_w1,"112,155 145,155 145,162 112,162",Brown,0.2259999961
0000223278.tif,1000,762,Page1_Block6,language,en-US,"111,154 397,154 397,247 111,247",Page1_Block6_l1,"112,154 395,154 395,164 112,164",Page1_Block6_l1_w2,"152,155 159,155 159,162 152,162",&,0.6600000262
0000223278.tif,1000,762,Page1_Block6,language,en-US,"111,154 397,154 397,247 111,247",Page1_Block6_l1,"112,154 395,154 395,164 112,164",Page1_Block6_l1_w3,"167,155 236,155 236,163 167,163",Williamson,0.5130000114
0000223278.tif,1000,762,Page1_Block6,language,en-US,"111,154 397,154 397,247 111,247",Page1_Block6_l1,"112,154 395,154 395,164 112,164",Page1_Block6_l1_w4,"245,154 332,154 332,162 245,162",International,0.4130769372
0000223278.tif,1000,762,Page1_Block6,language,en-US,"111,154 397,154 397,247 111,247",Page1_Block6_l1,"112,154 395,154 395,164 112,164",Page1_Block6_l1_w5,"341,155 395,155 395,164 341,164","Tobacco,",0.5375000238
0000223278.tif,1000,762,Page1_Block6,language,en-US,"111,154 397,154 397,247 111,247",Page1_Block6_l2,"112,168 290,168 290,178 112,178",Page1_Block6_l2_w1,"112,169 138,169 138,178 112,178",3000,0.2949999869
0000223278.tif,1000,762,Page1_Block6,language,en-US,"111,154 397,154 397,247 111,247",Page1_Block6_l2,"112,168 290,168 290,178 112,178",Page1_Block6_l2_w2,"146,169 180,169 180,177 146,177",First,0.773999989
0000223278.tif,1000,762,Page1_Block6,language,en-US,"111,154 397,154 397,247 111,247",Page1_Block6_l2,"112,168 290,168 290,178 112,178",Page1_Block6_l2_w3,"188,168 242,168 242,177 188,177",National,0.4212499857
0000223278.tif,1000,762,Page1_Block6,language,en-US,"111,154 397,154 397,247 111,247",Page1_Block6_l2,"112,168 290,168 290,178 112,178",Page1_Block6_l2_w4,"250,168 290,168 290,178 250,178","Tower,",0.4133333266
0000223278.tif,1000,762,Page1_Block6,language,en-US,"111,154 397,154 397,247 111,247",Page1_Block6_l3,"112,183 269,183 269,193 112,193",Page1_Block6_l3_w1,"112,183 130,183 130,191 112,191",101,0.3600000143
0000223278.tif,1000,762,Page1_Block6,language,en-US,"111,154 397,154 397,247 111,247",Page1_Block6_l3,"112,183 269,183 269,193 112,193",Page1_Block6_l3_w2,"139,183 173,183 173,191 139,191",South,0.5180000067
0000223278.tif,1000,762,Page1_Block6,language,en-US,"111,154 397,154 397,247 111,247",Page1_Block6_l3,"112,183 269,183 269,193 112,193",Page1_Block6_l3_w3,"181,183 215,183 215,191 181,191",Fifth,0.3560000062
